workerid,proliferate.condition,time_in_minutes,error
943,condition1,4.1779,
641,condition1,3.0128666666666666,
952,condition1,4.576866666666667,
608,condition1,3.6404,
805,condition1,5.609866666666667,
810,condition1,5.8232333333333335,
904,condition1,2.1908333333333334,
702,condition1,7.21255,
825,condition1,7.22425,
835,condition1,3.99535,
894,condition1,3.4251666666666667,
964,condition1,6.1271,
976,condition1,3.096016666666667,
843,condition1,3.026133333333333,
918,condition1,3.612433333333333,
720,condition1,3.98815,
756,condition1,6.957816666666667,
777,condition1,5.021333333333334,
627,condition1,2.44405,
656,condition1,9.148933333333334,
640,condition1,6.9233,
822,condition1,11.3779,
986,condition1,2.8063666666666665,
636,condition1,19.015816666666662,
788,condition1,8.767816666666667,
625,condition1,8.004866666666667,
849,condition1,3.3716666666666666,
764,condition1,4.2934,
603,condition1,7.955983333333333,
913,condition1,5.732566666666667,
809,condition1,3.9367833333333335,
934,condition1,4.218983333333333,
784,condition1,4.736183333333333,
622,condition1,2.8256,
807,condition1,5.363383333333333,
706,condition1,3.1551666666666667,
698,condition1,2.9708666666666668,
744,condition1,9.818316666666666,
991,condition1,2.8705166666666666,
733,condition1,3.9739833333333334,
598,condition1,2.8685833333333335,
879,condition1,4.4571,
676,condition1,2.266366666666667,
619,condition1,6.07205,
826,condition1,3.65715,
600,condition1,3.886083333333333,
909,condition1,3.967633333333333,
804,condition1,3.497533333333333,
786,condition1,6.511166666666667,
910,condition1,5.867366666666666,
716,condition1,4.672616666666666,
699,condition1,3.2049,
824,condition1,8.570133333333333,
881,condition1,2.867183333333333,
851,condition1,4.50945,
798,condition1,2.4379,
610,condition1,2.1441166666666667,
938,condition1,3.238066666666666,
842,condition1,4.980466666666667,
614,condition1,8.230366666666667,
649,condition1,4.748766666666667,
588,condition1,2.3303,
605,condition1,4.443333333333333,
765,condition1,2.8925833333333335,
590,condition1,6.83715,
597,condition1,4.69925,
618,condition1,7.298,
623,condition1,6.487916666666667,
634,condition1,5.507216666666666,
691,condition1,2.5837333333333334,
752,condition1,3.9538,
925,condition1,3.4625333333333335,
921,condition1,2.1482833333333335,
772,condition1,4.246766666666667,
759,condition1,3.8088,
968,condition1,6.5159,
639,condition1,2.647266666666667,
773,condition1,3.01,
815,condition1,3.2852,
650,condition1,3.0519666666666665,
867,condition1,4.843866666666667,
736,condition1,5.058283333333334,
781,condition1,2.476566666666667,
802,condition1,4.3019,
724,condition1,5.0339,
975,condition1,5.654566666666667,
661,condition1,3.57605,
827,condition1,2.8980166666666665,
743,condition1,3.27745,
973,condition1,6.136133333333333,
981,condition1,2.3863833333333333,
939,condition1,4.199583333333333,
629,condition1,5.572633333333333,
945,condition1,3.9553833333333337,
741,condition1,3.6897333333333338,
685,condition1,7.315116666666667,
873,condition1,3.0166333333333335,
915,condition1,4.1774,
892,condition1,5.204983333333334,
695,condition1,3.6691666666666665,
967,condition1,3.3240166666666666,
821,condition1,5.8252,
780,condition1,3.5838666666666668,
937,condition1,2.3068666666666666,
972,condition1,6.4973,
1000,condition1,3.33595,
728,condition1,4.64545,
606,condition1,7.518633333333334,
916,condition1,2.950633333333333,
845,condition1,12.854583333333334,
670,condition1,2.7947,
928,condition1,5.066883333333333,
987,condition1,3.5097666666666667,
844,condition1,3.32205,
713,condition1,6.248083333333334,
687,condition1,3.86825,
599,condition1,12.018716666666666,
829,condition1,3.7687333333333335,
831,condition1,3.3842,
803,condition1,3.08955,
878,condition1,3.79495,
957,condition1,5.8737,
697,condition1,2.2530166666666664,
833,condition1,5.794666666666667,
755,condition1,5.077683333333334,
1002,condition1,4.628116666666667,
675,condition1,2.6207666666666665,
722,condition1,7.3101,
931,condition1,4.048533333333333,
956,condition1,2.617383333333333,
635,condition1,2.7230333333333334,
725,condition1,5.65225,
686,condition1,2.831933333333333,
800,condition1,4.260433333333333,
655,condition1,11.577266666666668,
659,condition1,3.2744,
932,condition1,4.823916666666666,
