workerid,proliferate.condition,Browser,OS,screenH,screenW,error
747,condition1,Chrome,Windows,720,1280,
983,condition1,Firefox,Windows,768,1366,
958,condition1,Firefox,Mac,1152,2048,
988,condition1,Chrome,Mac,1050,1680,
818,condition1,Chrome,Windows,900,1600,
795,condition1,Chrome,Mac,900,1440,
617,condition1,Chrome,Windows,1080,1920,
596,condition1,Chrome,Linux,915,412,
850,condition1,Chrome,Windows,1080,1920,
696,condition1,Chrome,Mac,720,1152,
900,condition1,Chrome,Linux,800,1280,
750,condition1,Chrome,Windows,864,1536,
955,condition1,Chrome,Windows,864,1536,
621,condition1,Safari,Mac,1112,834,
652,condition1,Chrome,Linux,640,360,
767,condition1,Chrome,Windows,1200,1920,
839,condition1,Chrome,Linux,768,1366,
806,condition1,Firefox,Mac,900,1440,
783,condition1,Chrome,Windows,768,1366,
990,condition1,Chrome,Windows,1080,1920,
992,condition1,Safari,iPhone/iPod,844,390,
847,condition1,Safari,iPhone/iPod,926,428,
997,condition1,Chrome,Windows,1080,5760,
888,condition1,Chrome,Windows,720,1280,
727,condition1,Chrome,Windows,864,1536,
717,condition1,Firefox,Windows,1080,1920,
830,condition1,Chrome,Windows,1440,2560,
628,condition1,Chrome,Windows,900,1600,
907,condition1,Chrome,Linux,853,1517,
859,condition1,Firefox,Mac,1440,2560,
671,condition1,Chrome,Windows,768,1366,
962,condition1,Firefox,Windows,768,1366,
705,condition1,Chrome,Windows,1080,1920,
828,condition1,Firefox,Mac,900,1440,
926,condition1,Chrome,Windows,768,1024,
1003,condition1,Safari,iPhone/iPod,812,375,
885,condition1,Chrome,Linux,732,412,
882,condition1,Chrome,Windows,768,1366,
817,condition1,Chrome,Windows,1080,1920,
875,condition1,Chrome,Mac,900,1440,
985,condition1,Firefox,Windows,900,1600,
753,condition1,Chrome,Linux,883,412,
790,condition1,Chrome,Windows,864,1536,
836,condition1,Chrome,Windows,1080,1920,
947,condition1,Chrome,Mac,900,1440,
704,condition1,Chrome,Linux,800,360,
994,condition1,Safari,iPhone/iPod,667,375,
684,condition1,Chrome,Windows,1080,1920,
792,condition1,Firefox,Windows,900,1600,
927,condition1,Chrome,Windows,768,1366,
869,condition1,Safari,Mac,1024,768,
667,condition1,Chrome,Windows,720,1280,
793,condition1,Chrome,Windows,1080,1920,
870,condition1,Chrome,Windows,720,1280,
712,condition1,Chrome,Windows,1441,2560,
943,condition1,Chrome,Linux,640,360,
641,condition1,Chrome,Windows,864,1536,
952,condition1,Chrome,Linux,915,412,
608,condition1,Safari,iPhone/iPod,844,390,
805,condition1,Safari,iPhone/iPod,812,375,
810,condition1,Chrome,Linux,851,393,
904,condition1,Chrome,Linux,768,1366,
702,condition1,Chrome,Windows,1080,1920,
825,condition1,Safari,iPhone/iPod,812,375,
835,condition1,Chrome,Mac,1152,2048,
894,condition1,Chrome,Windows,900,1440,
964,condition1,Chrome,Windows,768,1366,
976,condition1,Safari,iPhone/iPod,896,414,
843,condition1,Chrome,Windows,864,1536,
918,condition1,Firefox,Windows,1024,1280,
720,condition1,Chrome,Windows,900,1600,
756,condition1,Chrome,Linux,918,424,
777,condition1,Chrome,Linux,768,1366,
627,condition1,Chrome,Windows,831,1477,
656,condition1,Chrome,Linux,722,361,
640,condition1,Firefox,Windows,768,1366,
822,condition1,Firefox,Windows,768,1366,
986,condition1,Safari,iPhone/iPod,812,375,
636,condition1,Firefox,Windows,768,1366,
788,condition1,Chrome,Mac,1152,2048,
625,condition1,Chrome,Linux,760,360,
849,condition1,Chrome,Mac,1440,2560,
764,condition1,Safari,iPhone/iPod,812,375,
603,condition1,Safari,Mac,1112,834,
913,condition1,Chrome,Windows,1080,1920,
809,condition1,Safari,iPhone/iPod,896,414,
934,condition1,Firefox,Windows,768,1360,
784,condition1,Chrome,Windows,720,1280,
622,condition1,Chrome,Windows,924,1642,
807,condition1,Chrome,Linux,768,1366,
706,condition1,Chrome,Windows,864,1536,
698,condition1,Chrome,Windows,900,1600,
744,condition1,Firefox,Windows,1024,1280,
