workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
812,condition1,female,hippie,3,NA,hippie_girl2,hippie_girl1,bank_crit,8,-9,none,Morgan,Sam,female,high,8:00,5,0.3297,crit,
812,condition1,male,fill,NA,3,filler_girl2,filler_guy2,store_fill,16,-14,20,Jessie,Casey,female,high,none,6,0.2970333333333333,fill,
812,condition1,male,fill,NA,4,filler_girl3,filler_guy4,restaurant_fill,10,-11,5,Kendall,Jordan,female,low,none,7,0.27616666666666667,fill,
812,condition1,female,nerd,4,NA,nerd_girl1,nerd_girl2,shopping_crit,4,-6,none,Devin,Quinn,female,high,9:30,8,0.32803333333333334,crit,
673,condition1,male,fill,NA,1,filler_girl4,filler_guy1,store_fill,10,-13,5,Kendall,Riley,female,high,none,1,0.3751,fill,
673,condition1,male,hippie,1,NA,hippie_girl2,hippie_guy1,airport_crit,5,-10,none,Sam,Morgan,female,low,8:00,2,0.2634,crit,
673,condition1,female,fill,NA,2,filler_guy4,filler_girl3,phone_fill,10,-20,20,Devin,Alex,male,low,none,3,0.15115,fill,
673,condition1,female,nerd,2,NA,nerd_guy2,nerd_girl2,premiere_crit,5,-10,none,Jamie,Jessie,male,low,3:00,4,0.15176666666666666,crit,
673,condition1,male,nerd,3,NA,nerd_girl1,nerd_guy1,shopping_crit,5,-6,none,Ash,Quinn,female,high,1:30,5,0.16788333333333333,crit,
673,condition1,male,fill,NA,3,filler_guy3,filler_guy2,restaurant_fill,5,-10,10,Jordan,Shawn,male,low,none,6,0.1536,fill,
673,condition1,female,fill,NA,4,filler_girl2,filler_girl1,coffee_fill,5,-16,15,Taylor,Skyler,female,high,none,7,0.14388333333333334,fill,
673,condition1,male,hippie,4,NA,hippie_girl1,hippie_guy2,bank_crit,5,-10,none,Dakota,Casey,female,high,9:30,8,0.17521666666666666,crit,
924,condition1,female,fill,NA,1,filler_girl2,filler_girl1,store_fill,10,-10,10,Shawn,Jamie,female,high,none,1,1.0216,fill,
924,condition1,male,nerd,1,NA,nerd_guy1,nerd_guy2,shopping_crit,2,-3,none,Dakota,Ash,male,high,3:00,2,0.7757333333333334,crit,
924,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,airport_crit,3,-3,none,Jordan,Quinn,female,low,8:00,3,0.4153333333333334,crit,
924,condition1,male,hippie,3,NA,hippie_girl2,hippie_guy1,bank_crit,4,-5,none,Skyler,Devin,female,high,9:30,4,0.4883666666666666,crit,
924,condition1,male,fill,NA,2,filler_guy4,filler_guy3,coffee_fill,4,-3,15,Riley,Morgan,male,high,none,5,0.36333333333333334,fill,
924,condition1,female,fill,NA,3,filler_guy1,filler_girl4,restaurant_fill,9,-6,20,Sam,Jessie,male,low,none,6,0.3409,fill,
924,condition1,female,hippie,4,NA,hippie_guy2,hippie_girl1,premiere_crit,2,-3,none,Taylor,Kendall,male,low,1:30,7,0.5682666666666667,crit,
924,condition1,female,fill,NA,4,filler_guy2,filler_girl3,phone_fill,8,-4,5,Alex,Casey,male,low,none,8,0.39641666666666664,fill,
974,condition1,male,nerd,1,NA,nerd_girl1,nerd_guy2,bank_crit,1,-1,none,Shawn,Dakota,female,high,1:30,1,1.6022666666666667,crit,
974,condition1,male,fill,NA,1,filler_guy1,filler_guy4,restaurant_fill,1,-3,5,Ash,Jamie,male,low,none,2,0.6174166666666666,fill,
974,condition1,female,hippie,2,NA,hippie_guy2,hippie_girl2,airport_crit,1,-1,none,Morgan,Taylor,male,low,3:00,3,0.4747,crit,
974,condition1,male,fill,NA,2,filler_girl1,filler_guy2,coffee_fill,0,-2,20,Kendall,Devin,female,high,none,4,0.5616833333333333,fill,
974,condition1,male,nerd,3,NA,nerd_girl2,nerd_guy1,premiere_crit,1,-1,none,Jessie,Sam,female,low,9:30,5,0.3186833333333333,crit,
974,condition1,female,hippie,4,NA,hippie_guy1,hippie_girl1,shopping_crit,0,-1,none,Riley,Alex,male,high,8:00,6,0.2859333333333333,crit,
974,condition1,female,fill,NA,3,filler_guy3,filler_girl4,store_fill,0,-1,15,Jordan,Quinn,male,high,none,7,0.2847,fill,
974,condition1,female,fill,NA,4,filler_girl2,filler_girl3,phone_fill,1,-1,10,Skyler,Casey,female,low,none,8,0.19753333333333337,fill,
890,condition1,male,fill,NA,1,filler_girl3,filler_guy4,phone_fill,5,-5,10,Skyler,Casey,female,low,none,1,0.4071,fill,
890,condition1,female,fill,NA,2,filler_girl4,filler_girl1,store_fill,8,-7,5,Sam,Quinn,female,high,none,2,0.37998333333333334,fill,
890,condition1,male,nerd,1,NA,nerd_guy1,nerd_guy2,shopping_crit,5,-20,none,Dakota,Riley,male,high,3:00,3,0.41786666666666666,crit,
890,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,premiere_crit,7,-20,none,Taylor,Jamie,female,low,1:30,4,0.3932,crit,
890,condition1,male,hippie,3,NA,hippie_girl2,hippie_guy1,airport_crit,5,-16,none,Shawn,Jordan,female,low,9:30,5,0.42868333333333336,crit,
890,condition1,female,hippie,4,NA,hippie_guy2,hippie_girl1,bank_crit,4,-15,none,Devin,Alex,male,high,8:00,6,0.24246666666666664,crit,
890,condition1,male,fill,NA,3,filler_guy1,filler_guy3,coffee_fill,13,-15,20,Ash,Morgan,male,high,none,7,0.3811833333333333,fill,
890,condition1,female,fill,NA,4,filler_guy2,filler_girl2,restaurant_fill,10,-15,15,Kendall,Jessie,male,low,none,8,0.22146666666666667,fill,
796,condition1,male,fill,NA,1,filler_girl2,filler_guy1,coffee_fill,20,-11,10,Taylor,Casey,female,high,none,1,0.45103333333333334,fill,
796,condition1,male,hippie,1,NA,hippie_guy1,hippie_guy2,airport_crit,5,-5,none,Kendall,Jordan,male,low,9:30,2,0.53135,crit,
796,condition1,female,nerd,2,NA,nerd_guy1,nerd_girl1,premiere_crit,4,-5,none,Morgan,Skyler,male,low,8:00,3,0.14306666666666668,crit,
796,condition1,female,hippie,3,NA,hippie_girl2,hippie_girl1,bank_crit,10,-9,none,Alex,Quinn,female,high,3:00,4,0.15731666666666666,crit,
