workerid,proliferate.condition,time_in_minutes,error
332,condition1,1.7835333333333334,
434,condition1,3.8157833333333335,
536,condition1,2.438,
391,condition1,3.5188,
460,condition1,2.864133333333333,
490,condition1,2.5127333333333333,
276,condition1,10.56245,
471,condition1,6.3619,
491,condition1,6.947583333333333,
477,condition1,2.96655,
306,condition1,3.395033333333333,
469,condition1,3.218,
176,condition1,7.895966666666666,
501,condition1,3.577716666666667,
225,condition1,4.246333333333333,
293,condition1,2.3913,
530,condition1,2.7362,
252,condition1,2.0364833333333334,
404,condition1,2.5130166666666667,
320,condition1,4.311083333333333,
161,condition1,3.570683333333333,
528,condition1,2.3318,
218,condition1,4.572016666666666,
418,condition1,2.5451,
214,condition1,4.260033333333333,
421,condition1,2.5078833333333335,
388,condition1,2.301083333333333,
310,condition1,4.721983333333333,
326,condition1,5.614233333333333,
217,condition1,2.996383333333333,
205,condition1,3.419366666666667,
473,condition1,7.583833333333334,
518,condition1,3.141166666666667,
489,condition1,2.4936166666666666,
287,condition1,5.178933333333333,
359,condition1,1.7814166666666666,
486,condition1,7.130733333333334,
558,condition1,2.7323833333333334,
567,condition1,2.61875,
560,condition1,6.715066666666667,
538,condition1,2.8989166666666666,
295,condition1,2.4587666666666665,
164,condition1,7.27345,
393,condition1,3.830816666666667,
275,condition1,1.8395,
356,condition1,4.539316666666667,
426,condition1,3.590433333333334,
198,condition1,2.9566333333333334,
377,condition1,2.853166666666666,
544,condition1,2.3944,
322,condition1,5.708566666666667,
414,condition1,2.6411166666666666,
442,condition1,2.809066666666667,
221,condition1,5.66925,
200,condition1,2.8200166666666666,
245,condition1,2.30605,
389,condition1,4.04735,
474,condition1,3.49525,
405,condition1,3.09065,
403,condition1,3.86085,
382,condition1,4.211566666666666,
443,condition1,3.084783333333333,
211,condition1,2.3146666666666667,
163,condition1,2.71025,
372,condition1,4.487,
539,condition1,1.7443,
291,condition1,2.7256666666666667,
542,condition1,11.550533333333334,
432,condition1,6.86265,
503,condition1,3.245216666666667,
298,condition1,4.115683333333333,
458,condition1,5.9920333333333335,
371,condition1,4.32335,
429,condition1,10.3811,
361,condition1,3.3028666666666666,
354,condition1,2.7878666666666665,
365,condition1,3.0143333333333335,
212,condition1,3.0162,
208,condition1,9.31765,
413,condition1,1.6391833333333334,
457,condition1,2.68355,
517,condition1,3.0670166666666665,
441,condition1,5.853566666666667,
251,condition1,2.98435,
444,condition1,18.043533333333333,
294,condition1,2.27505,
383,condition1,2.697983333333333,
579,condition1,2.4624,
563,condition1,4.054516666666666,
280,condition1,2.507833333333333,
235,condition1,8.206066666666667,
575,condition1,1.9541833333333336,
250,condition1,4.491383333333333,
166,condition1,3.020583333333333,
498,condition1,9.79095,
336,condition1,1.9278333333333333,
412,condition1,3.315183333333333,
228,condition1,4.1449,
232,condition1,7.26695,
253,condition1,3.4826166666666665,
425,condition1,3.60855,
497,condition1,5.05125,
550,condition1,8.536083333333334,
577,condition1,4.221733333333333,
394,condition1,6.5785,
299,condition1,2.8887666666666667,
417,condition1,2.557916666666667,
466,condition1,2.323,
242,condition1,6.551683333333333,
523,condition1,3.2281,
513,condition1,3.6301833333333335,
446,condition1,2.122116666666667,
456,condition1,3.8166333333333338,
195,condition1,3.9347,
576,condition1,2.5285,
244,condition1,2.4075166666666665,
206,condition1,2.9966166666666667,
455,condition1,6.5130333333333335,
267,condition1,3.6026833333333332,
265,condition1,4.472783333333333,
449,condition1,1.8201,
204,condition1,2.34035,
178,condition1,5.9949666666666666,
187,condition1,4.171833333333334,
238,condition1,3.0804,
509,condition1,1.7835,
301,condition1,2.7728333333333333,
307,condition1,4.377183333333333,
516,condition1,3.0194833333333335,
346,condition1,3.53475,
364,condition1,3.9924,
468,condition1,3.46875,
247,condition1,3.127266666666667,
321,condition1,5.353083333333333,
522,condition1,1.8015,
510,condition1,3.252083333333333,
192,condition1,2.8033333333333332,
302,condition1,2.14575,
285,condition1,1.8365166666666664,
566,condition1,3.3407333333333336,
402,condition1,3.50115,
397,condition1,5.403083333333333,
376,condition1,5.97445,
341,condition1,4.884266666666667,
415,condition1,3.9225833333333338,
574,condition1,3.3273,
316,condition1,2.9393833333333332,
315,condition1,3.91455,
506,condition1,3.044383333333333,
319,condition1,3.7516666666666665,
439,condition1,4.5078,
370,condition1,5.370616666666667,
182,condition1,3.5192666666666668,
422,condition1,2.3513,
445,condition1,2.368633333333334,
375,condition1,2.881883333333333,
258,condition1,3.4996833333333335,
158,condition1,2.8787166666666666,
264,condition1,4.2489333333333335,
203,condition1,5.44915,
447,condition1,2.2597,
355,condition1,2.1092333333333335,
324,condition1,3.793816666666667,
427,condition1,2.8928833333333333,
515,condition1,2.4229333333333334,
350,condition1,3.8426666666666662,
290,condition1,2.8686166666666666,
273,condition1,11.556733333333334,
210,condition1,2.3759,
433,condition1,5.574033333333333,
193,condition1,2.4454333333333333,
507,condition1,4.285633333333333,
184,condition1,3.1278,
423,condition1,4.525333333333333,
436,condition1,5.1211166666666665,
283,condition1,4.538033333333333,
374,condition1,2.4753166666666666,
328,condition1,4.6736,
279,condition1,2.4276166666666668,
465,condition1,3.3717,
246,condition1,6.5499,
358,condition1,3.39075,
411,condition1,4.2515,
338,condition1,3.8877333333333337,
485,condition1,4.264266666666667,
277,condition1,2.29165,
467,condition1,7.007366666666667,
335,condition1,12.24115,
222,condition1,3.3531,
541,condition1,6.098066666666667,
396,condition1,2.14665,
557,condition1,3.2454833333333335,
420,condition1,2.970816666666667,
347,condition1,32.3189,
512,condition1,2.7073,
292,condition1,4.310416666666667,
249,condition1,2.8003,
369,condition1,3.4973833333333335,
226,condition1,3.534683333333333,
303,condition1,13.900916666666667,
398,condition1,10.084183333333334,
568,condition1,2.0775,
514,condition1,2.051283333333333,
479,condition1,4.09935,
165,condition1,3.3434,
272,condition1,3.3030333333333335,
168,condition1,2.370733333333334,
571,condition1,5.05835,
451,condition1,3.4531,
527,condition1,4.908433333333333,
448,condition1,5.66345,
199,condition1,13.093733333333333,
