workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
288,condition1,male,fill,NA,1,filler_guy3,filler_guy1,restaurant_fill,0,0,10,Morgan,Kendall,male,low,none,1,0.27803333333333335,fill,
288,condition1,female,fill,NA,2,filler_girl4,filler_girl1,phone_fill,0,0,20,Riley,Jordan,female,low,none,2,0.13823333333333335,fill,
288,condition1,male,fill,NA,3,filler_guy2,filler_guy4,store_fill,0,0,15,Jamie,Devin,male,high,none,3,0.14681666666666668,fill,
288,condition1,male,hippie,1,NA,hippie_guy1,hippie_guy2,premiere_crit,10,-10,none,Ash,Shawn,male,low,3:00,4,0.5264166666666666,crit,
288,condition1,female,nerd,2,NA,nerd_guy1,nerd_girl1,airport_crit,5,-5,none,Alex,Sam,male,low,9:30,5,0.21765,crit,
288,condition1,female,fill,NA,4,filler_girl2,filler_girl3,coffee_fill,0,0,5,Skyler,Quinn,female,high,none,6,0.1164,fill,
288,condition1,female,hippie,3,NA,hippie_girl2,hippie_girl1,shopping_crit,0,0,none,Dakota,Jessie,female,high,8:00,7,0.3491,crit,
288,condition1,male,nerd,4,NA,nerd_girl2,nerd_guy2,bank_crit,5,-5,none,Casey,Taylor,female,high,1:30,8,0.2743833333333333,crit,
399,condition1,male,hippie,1,NA,hippie_girl2,hippie_guy1,bank_crit,0,-5,none,Skyler,Sam,female,high,1:30,1,0.43061666666666665,crit,
399,condition1,male,fill,NA,1,filler_girl3,filler_guy2,restaurant_fill,10,-16,15,Dakota,Kendall,female,low,none,2,0.27513333333333334,fill,
399,condition1,female,fill,NA,2,filler_guy4,filler_girl2,phone_fill,0,-20,20,Alex,Casey,male,low,none,3,0.20986666666666667,fill,
399,condition1,male,hippie,2,NA,hippie_girl1,hippie_guy2,airport_crit,0,-11,none,Quinn,Devin,female,low,3:00,4,0.3209666666666667,crit,
